     Angle, Det1Disc1,
      69.6,        10,
     69.65,         6,
      69.7,        12,
     69.75,        13,
      69.8,        14,
     69.85,        12,
      69.9,        16,
     69.95,        13,
        70,        21,
     70.05,        19,
      70.1,        27,
     70.15,        32,
      70.2,        42,
     70.25,        86,
      70.3,       110,
     70.35,       110,
      70.4,        77,
     70.45,        59,
      70.5,        73,
     70.55,        59,
      70.6,        37,
     70.65,        38,
      70.7,        23,
     70.75,        16,
      70.8,        17,
     70.85,        16,
      70.9,        20,
     70.95,        19,
        71,        14,
     71.05,        12,
      71.1,        10,
     71.15,        13,
      71.2,        14,
     71.25,        13,
      71.3,        15,
     71.35,        12,
      71.4,         8,
     71.45,         9,
      71.5,        20,
     71.55,        15,
      71.6,        13,
     71.65,        14,
      71.7,        11,
     71.75,        11,
      71.8,         7,
     71.85,        12,
      71.9,        25,
     71.95,        14,
        72,         7,
     72.05,         7,
      72.1,        13,
     72.15,        10,
      72.2,        15,
     72.25,        13,
      72.3,        14,
     72.35,        12,
      72.4,         9,
     72.45,         5,
      72.5,         8,
     72.55,        16,
      72.6,        13,
     72.65,        10,
      72.7,        18,
     72.75,        11,
      72.8,         9,
     72.85,        13,
      72.9,        17,
     72.95,        15,
        73,        14,
     73.05,         9,
      73.1,        18,
     73.15,        13,
      73.2,        14,
     73.25,        16,
      73.3,        14,
     73.35,        17,
      73.4,        16,
     73.45,        15,
      73.5,        12,
     73.55,        13,
      73.6,        16,
     73.65,        12,
      73.7,        14,
     73.75,        11,
      73.8,        16,
     73.85,        16,
      73.9,        16,
     73.95,        14,
        74,        16,
     74.05,        20,
      74.1,        19,
     74.15,        21,
      74.2,        25,
     74.25,        17,
      74.3,        19,
     74.35,        17,
      74.4,        14,
     74.45,        13,
      74.5,        13,
     74.55,        22,
      74.6,        22,
     74.65,        12,
      74.7,        25,
     74.75,        25,
      74.8,        16,
     74.85,        29,
      74.9,        35,
     74.95,        52,
        75,       104,
     75.05,       153,
      75.1,       167,
     75.15,       124,
      75.2,        88,
     75.25,       108,
      75.3,        89,
     75.35,        75,
      75.4,        45,
     75.45,        34,
      75.5,        22,
     75.55,        21,
      75.6,        12,
     75.65,        15,
